GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P017001,P017001.2000,P017002,P017002.2000,P017003,P017003.2000
37021003001,140,37,021,11700,120,,,Census Tract 30.01,8609,3919,6617,2864,2.24,,0.43,,1.81,
37021003102,140,37,021,11700,120,,,Census Tract 31.02,5663,3178,5100,2804,2.24,,0.42,,1.82,
37021003103,140,37,021,11700,120,,,Census Tract 31.03,1879,970,1758,851,2.40,,0.55,,1.86,
37021003104,140,37,021,11700,120,,,Census Tract 31.04,5899,2857,5522,2509,2.18,,0.43,,1.75,
37021003203,140,37,021,11700,120,,,Census Tract 32.03,5016,2290,4257,1741,2.41,,0.52,,1.89,
37021003204,140,37,021,11700,120,,,Census Tract 32.04,5431,2523,4610,1918,2.50,,0.56,,1.94,
37023020201,140,37,023,25860,999,,,Census Tract 202.01,5953,3262,10387,5251,2.37,,0.48,,1.89,
37023020302,140,37,023,25860,999,,,Census Tract 203.02,7603,3241,6702,2657,2.61,,0.64,,1.97,
37023020600,140,37,023,25860,999,,,Census Tract 206,5890,2836,5961,2663,2.29,,0.53,,1.75,
37023020801,140,37,023,25860,999,,,Census Tract 208.01,5557,2541,5825,2502,2.38,,0.52,,1.86,
37023020802,140,37,023,25860,999,,,Census Tract 208.02,3268,1465,3229,1396,2.34,,0.51,,1.82,
37023021000,140,37,023,25860,999,,,Census Tract 210,5735,2473,5735,2378,2.56,,0.59,,1.97,
37023021100,140,37,023,25860,999,,,Census Tract 211,6431,2836,5748,2440,2.56,,0.57,,1.98,
37023021202,140,37,023,25860,999,,,Census Tract 212.02,4367,1923,4239,1852,2.56,,0.61,,1.95,
37025040500,140,37,025,16740,172,,,Census Tract 405,11911,4513,7129,2844,2.84,,0.83,,2.01,
37025040600,140,37,025,16740,172,,,Census Tract 406,6110,2533,5238,2113,2.62,,0.61,,2.01,
37025040702,140,37,025,16740,172,,,Census Tract 407.02,6495,2641,5063,2025,2.71,,0.74,,1.97,
37025040800,140,37,025,16740,172,,,Census Tract 408,3944,1920,4204,1907,2.47,,0.61,,1.86,
37025040900,140,37,025,16740,172,,,Census Tract 409,1845,935,1522,813,2.24,,0.49,,1.76,
37025041000,140,37,025,16740,172,,,Census Tract 410,6010,2739,5958,2668,2.53,,0.70,,1.83,
37025041200,140,37,025,16740,172,,,Census Tract 412,5779,2583,5335,2239,2.52,,0.56,,1.96,
37025041301,140,37,025,16740,172,,,Census Tract 413.01,3738,1460,956,403,2.80,,0.76,,2.04,
37025041303,140,37,025,16740,172,,,Census Tract 413.03,6994,2403,1789,664,3.09,,1.13,,1.96,
37025041501,140,37,025,16740,172,,,Census Tract 415.01,9568,3208,5453,1919,3.09,,1.00,,2.09,
37025041601,140,37,025,16740,172,,,Census Tract 416.01,6950,2846,5645,2222,2.63,,0.61,,2.02,
37025041701,140,37,025,16740,172,,,Census Tract 417.01,4289,1689,3793,1450,2.59,,0.62,,1.97,
37025041901,140,37,025,16740,172,,,Census Tract 419.01,2052,780,2116,734,2.99,,0.93,,2.06,
37025041902,140,37,025,16740,172,,,Census Tract 419.02,4057,1740,4173,1647,2.78,,0.83,,1.95,
37025042000,140,37,025,16740,172,,,Census Tract 420,4663,1907,4723,1811,2.61,,0.69,,1.93,
37025042101,140,37,025,16740,172,,,Census Tract 421.01,3264,1442,3138,1299,2.83,,0.87,,1.96,
37025042102,140,37,025,16740,172,,,Census Tract 421.02,3477,1389,3343,1251,2.74,,0.83,,1.91,
37025042200,140,37,025,16740,172,,,Census Tract 422,6263,2762,5644,2505,2.42,,0.56,,1.86,
37025042300,140,37,025,16740,172,,,Census Tract 423,4839,2222,4855,2046,2.31,,0.57,,1.74,
37025042401,140,37,025,16740,172,,,Census Tract 424.01,3349,1590,3049,1410,2.26,,0.49,,1.77,
37025042402,140,37,025,16740,172,,,Census Tract 424.02,4945,2309,4491,2045,2.35,,0.62,,1.72,
37025042501,140,37,025,16740,172,,,Census Tract 425.01,4365,1790,3098,1183,2.58,,0.64,,1.94,
37025042502,140,37,025,16740,172,,,Census Tract 425.02,2379,1217,1688,804,2.22,,0.46,,1.76,
37025042503,140,37,025,16740,172,,,Census Tract 425.03,3714,1334,2636,881,2.88,,0.82,,2.06,
37025042504,140,37,025,16740,172,,,Census Tract 425.04,1575,530,1117,350,3.08,,0.93,,2.15,
37025042601,140,37,025,16740,172,,,Census Tract 426.01,5282,1929,3397,1196,2.87,,0.79,,2.08,
37025042602,140,37,025,16740,172,,,Census Tract 426.02,3796,1423,2441,882,2.88,,0.93,,1.95,
37025042603,140,37,025,16740,172,,,Census Tract 426.03,7031,2841,4522,1762,2.69,,0.74,,1.95,
37025042604,140,37,025,16740,172,,,Census Tract 426.04,5026,2019,3232,1252,2.59,,0.70,,1.89,
37027030100,140,37,027,25860,999,,,Census Tract 301,5479,2790,5948,2700,2.31,,0.61,,1.70,
37027030200,140,37,027,25860,999,,,Census Tract 302,5634,2469,5271,2228,2.55,,0.61,,1.95,
37027030300,140,37,027,25860,999,,,Census Tract 303,4204,1822,4198,1764,2.40,,0.55,,1.85,
37027030400,140,37,027,25860,999,,,Census Tract 304,4636,2068,4586,1982,2.36,,0.54,,1.82,
37027030500,140,37,027,25860,999,,,Census Tract 305,4666,2116,4447,1847,2.27,,0.46,,1.81,
37027030600,140,37,027,25860,999,,,Census Tract 306,4303,1861,3474,1501,2.50,,0.56,,1.94,
37027030700,140,37,027,25860,999,,,Census Tract 307,7056,3195,6651,2899,2.43,,0.54,,1.89,
37027030800,140,37,027,25860,999,,,Census Tract 308,8169,3320,6669,2728,2.63,,0.65,,1.98,
37027030900,140,37,027,25860,999,,,Census Tract 309,4971,2455,5045,2488,2.44,,0.52,,1.92,
37027031000,140,37,027,25860,999,,,Census Tract 310,3042,1905,3245,1708,2.33,,0.45,,1.88,
37027031100,140,37,027,25860,999,,,Census Tract 311,4318,2048,4678,1956,2.39,,0.48,,1.91,
37027031201,140,37,027,25860,999,,,Census Tract 312.01,4672,2143,4358,1895,2.40,,0.50,,1.90,
37027031300,140,37,027,25860,999,,,Census Tract 313,8094,3484,6152,2513,2.57,,0.60,,1.96,
37027031402,140,37,027,25860,999,,,Census Tract 314.02,3580,1571,3274,1361,2.50,,0.60,,1.90,
37027031403,140,37,027,25860,999,,,Census Tract 314.03,2425,1038,2217,899,2.51,,0.61,,1.90,
37029950101,140,37,029,21020,999,,,Census Tract 9501.01,5324,2151,3673,1558,2.73,,0.73,,2.01,
37031970102,140,37,031,33980,999,,,Census Tract 9701.02,2608,1646,2571,1353,2.24,,0.39,,1.86,
37031970200,140,37,031,33980,999,,,Census Tract 9702,1207,1177,1525,1109,2.27,,0.29,,1.98,
37031970301,140,37,031,33980,999,,,Census Tract 9703.01,4623,2267,4099,1766,2.34,,0.47,,1.87,
37031970302,140,37,031,33980,999,,,Census Tract 9703.02,1092,663,968,516,1.98,,0.30,,1.68,
37031970402,140,37,031,33980,999,,,Census Tract 9704.02,1582,955,1692,898,2.02,,0.36,,1.67,
37031970501,140,37,031,33980,999,,,Census Tract 9705.01,2436,1196,2235,1046,2.27,,0.50,,1.77,
37031970502,140,37,031,33980,999,,,Census Tract 9705.02,1935,896,1771,783,2.40,,0.47,,1.93,
37031970601,140,37,031,33980,999,,,Census Tract 9706.01,1306,633,1093,487,2.55,,0.58,,1.96,
37031970603,140,37,031,33980,999,,,Census Tract 9706.03,1640,725,1372,557,2.52,,0.56,,1.95,
37031970604,140,37,031,33980,999,,,Census Tract 9706.04,2095,1129,1753,869,2.22,,0.35,,1.87,
37031970605,140,37,031,33980,999,,,Census Tract 9706.05,1247,851,1043,654,2.00,,0.26,,1.74,
37031970701,140,37,031,33980,999,,,Census Tract 9707.01,1409,560,1179,444,2.69,,0.68,,2.01,
37031970702,140,37,031,33980,999,,,Census Tract 9707.02,3529,1538,2946,1220,2.51,,0.59,,1.91,
37031970703,140,37,031,33980,999,,,Census Tract 9707.03,5452,2266,4565,1799,2.41,,0.57,,1.84,
37031970704,140,37,031,33980,999,,,Census Tract 9707.04,2379,1104,1991,876,2.49,,0.51,,1.98,
37031970801,140,37,031,33980,999,,,Census Tract 9708.01,2363,1276,1674,977,2.44,,0.53,,1.91,
37031970802,140,37,031,33980,999,,,Census Tract 9708.02,1626,1288,1152,986,2.22,,0.43,,1.79,
37031970803,140,37,031,33980,999,,,Census Tract 9708.03,1471,871,1042,667,2.23,,0.36,,1.87,
37031970804,140,37,031,33980,999,,,Census Tract 9708.04,3052,1738,2162,1331,2.52,,0.57,,1.95,
37031970901,140,37,031,33980,999,,,Census Tract 9709.01,1156,1752,1098,1540,2.22,,0.35,,1.88,
37031970903,140,37,031,33980,999,,,Census Tract 9709.03,1217,2888,1156,2539,2.05,,0.24,,1.81,
37031971001,140,37,031,33980,999,,,Census Tract 9710.01,356,1802,388,1625,2.02,,0.19,,1.83,
37031971002,140,37,031,33980,999,,,Census Tract 9710.02,1339,2049,1481,1873,2.04,,0.21,,1.83,
37031971101,140,37,031,33980,999,,,Census Tract 9711.01,962,2944,1157,2906,1.81,,0.21,,1.60,
37031971102,140,37,031,33980,999,,,Census Tract 9711.02,555,1998,672,1987,1.74,,0.15,,1.59,
37031980100,140,37,031,33980,999,,,Census Tract 9801,0,0,0,0,0.00,,0.00,,0.00,
37031990100,140,37,031,33980,999,,,Census Tract 9901,0,0,0,0,0.00,,0.00,,0.00,
37031990200,140,37,031,33980,999,,,Census Tract 9902,0,0,0,0,0.00,,0.00,,0.00,
37033930200,140,37,033,99999,999,,,Census Tract 9302,5838,2245,5804,2102,2.31,,0.52,,1.80,
37033930300,140,37,033,99999,999,,,Census Tract 9303,4165,1939,4093,1810,2.41,,0.54,,1.87,
37033930500,140,37,033,99999,999,,,Census Tract 9305,3847,1678,3722,1503,2.57,,0.59,,1.98,
37033930600,140,37,033,99999,999,,,Census Tract 9306,4790,2380,4766,2048,2.39,,0.49,,1.89,
37035010101,140,37,035,25860,999,,,Census Tract 101.01,6112,2610,5434,2253,2.63,,0.63,,2.00,
37035010102,140,37,035,25860,999,,,Census Tract 101.02,4057,1912,3475,1579,2.26,,0.46,,1.80,
37035010201,140,37,035,25860,999,,,Census Tract 102.01,4815,1980,4436,1766,2.70,,0.71,,1.98,
37035010202,140,37,035,25860,999,,,Census Tract 102.02,8365,3420,6717,2663,2.59,,0.69,,1.91,
37035010301,140,37,035,25860,999,,,Census Tract 103.01,4821,1909,4385,1643,2.72,,0.74,,1.98,
37035010304,140,37,035,25860,999,,,Census Tract 103.04,4344,1644,4024,1547,2.80,,0.82,,1.98,
37035010501,140,37,035,25860,999,,,Census Tract 105.01,3753,1806,3628,1697,2.18,,0.45,,1.73,
37035010502,140,37,035,25860,999,,,Census Tract 105.02,3226,1353,3182,1239,2.59,,0.63,,1.96,
37035010600,140,37,035,25860,999,,,Census Tract 106,6421,3046,6231,2946,2.30,,0.55,,1.75,
37035010700,140,37,035,25860,999,,,Census Tract 107,2426,1251,2744,1245,2.31,,0.52,,1.79,
37035010900,140,37,035,25860,999,,,Census Tract 109,3762,1783,4368,1836,2.46,,0.65,,1.81,
37035011000,140,37,035,25860,999,,,Census Tract 110,2644,1074,2966,1196,2.66,,0.74,,1.92,
37035011101,140,37,035,25860,999,,,Census Tract 111.01,3497,1540,7485,3235,2.49,,0.57,,1.91,
37035011102,140,37,035,25860,999,,,Census Tract 111.02,6873,3131,5544,2339,2.40,,0.56,,1.84,
37035011200,140,37,035,25860,999,,,Census Tract 112,5983,2712,5853,2597,2.35,,0.56,,1.79,
37035011401,140,37,035,25860,999,,,Census Tract 114.01,3525,1528,3372,1387,2.55,,0.63,,1.92,
37035011402,140,37,035,25860,999,,,Census Tract 114.02,4030,1682,3855,1527,2.47,,0.54,,1.93,
37035011503,140,37,035,25860,999,,,Census Tract 115.03,3715,1715,2578,1237,2.60,,0.60,,2.00,
37035011601,140,37,035,25860,999,,,Census Tract 116.01,4487,1681,3993,1474,2.73,,0.68,,2.05,
37035011602,140,37,035,25860,999,,,Census Tract 116.02,5546,2315,4935,2029,2.60,,0.62,,1.98,
37035011702,140,37,035,25860,999,,,Census Tract 117.02,6847,2801,6472,2596,2.65,,0.65,,2.00,
37035011802,140,37,035,25860,999,,,Census Tract 118.02,5952,2525,5452,2229,2.59,,0.62,,1.97,
37037020103,140,37,037,20500,450,,,Census Tract 201.03,4335,1887,2872,1216,2.51,,0.55,,1.96,
37037020105,140,37,037,20500,450,,,Census Tract 201.05,2920,1502,1934,968,2.23,,0.48,,1.75,
37037020106,140,37,037,20500,450,,,Census Tract 201.06,3861,1697,2557,1094,2.47,,0.58,,1.90,
37037020200,140,37,037,20500,450,,,Census Tract 202,7666,3531,6282,2680,2.44,,0.53,,1.91,
37037020300,140,37,037,20500,450,,,Census Tract 203,2929,1317,2681,1133,2.55,,0.59,,1.95,
37037020401,140,37,037,20500,450,,,Census Tract 204.01,5775,2141,5053,1898,2.90,,0.86,,2.04,
37037020402,140,37,037,20500,450,,,Census Tract 204.02,4693,1764,4105,1564,2.94,,0.89,,2.05,
37037020500,140,37,037,20500,450,,,Census Tract 205,3751,1716,7236,3149,2.48,,0.55,,1.93,
37037020600,140,37,037,20500,450,,,Census Tract 206,5351,2463,4707,2084,2.47,,0.51,,1.96,
37037020702,140,37,037,20500,450,,,Census Tract 207.02,3887,1814,2479,1101,2.45,,0.56,,1.90,
37037020800,140,37,037,20500,450,,,Census Tract 208,8760,3919,6832,2929,2.33,,0.49,,1.84,
37039930100,140,37,039,99999,999,,,Census Tract 9301,4571,2582,4434,2386,2.26,,0.48,,1.78,
37039930300,140,37,039,99999,999,,,Census Tract 9303,2439,1749,2328,1379,2.31,,0.43,,1.88,
37039930400,140,37,039,99999,999,,,Census Tract 9304,6120,3316,5633,2787,2.28,,0.46,,1.83,
37039930500,140,37,039,99999,999,,,Census Tract 9305,4693,3196,3671,2134,2.24,,0.40,,1.84,
37039930601,140,37,039,99999,999,,,Census Tract 9306.01,3280,2544,2737,1781,2.28,,0.41,,1.87,
37039930602,140,37,039,99999,999,,,Census Tract 9306.02,3931,2836,3280,1986,2.35,,0.43,,1.92,
37041930101,140,37,041,99999,999,,,Census Tract 9301.01,5424,2718,5540,2352,2.28,,0.58,,1.71,
37043950100,140,37,043,99999,999,,,Census Tract 9501,5062,3880,4248,2938,2.24,,0.40,,1.84,
